m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
3,70,70,1000,3,70,70,1000,80,3,2779.227699,1186345417,6265.061791,12.96002648,214.4461435,1393.064814,181.0344828,1,181.0344828,818.9655172,Viga
2.5,85,55,1000,2.5,85,55,1000,80,3.5,2457.019767,1106477785,6080.182387,10.94430428,224.5021433,2028.267903,202.5862069,1,202.5862069,797.4137931,Viga
3.5,55,85,1000,3.5,55,85,1000,80,2.5,2765.039101,958446921.4,5787.810962,14.9310268,185.1874716,1019.600135,150.862069,1,150.862069,849.137931,Viga
2.25,77.5,77.5,1000,3.75,92.5,77.5,1000,80,2.25,1857.44255668,1046498902.03,5581.27380235,15.1515069917,122.591274762,1666.5975496,200,1,200,800,Viga
3.25,47.5,47.5,1000,2.75,62.5,47.5,1000,80,3.25,1673.17614,484395642,4077.584292,9.327884469,179.3735917,902.575438,177.2151899,1,177.2151899,822.7848101,Viga
2.75,62.5,92.5,1000,3.25,47.5,92.5,1000,80,3.75,2223.473132,1189939730,5283.438856,13.76296875,161.5547614,974.7995295,136.3636364,1,136.3636364,863.6363636,Viga
3.75,92.5,62.5,1000,2.25,77.5,62.5,1000,80,2.75,4812.669975,902673704.3,10554.34048,13.76140668,349.7222404,995.6217723,77.5,1,0,1000,Cartela
2.125,96.25,51.25,1000,3.375,58.75,51.25,1000,80,2.125,1187.801491,825467722.8,4686.679192,10.45361998,113.6258533,1799.72525,138.75,1,0,1000,Cartela
3.125,66.25,81.25,1000,2.375,88.75,81.25,1000,80,3.125,2939.802243,1115420812,6678.59826,13.47433827,218.1778566,1140.151332,186.2745098,1,186.2745098,813.7254902,Viga
2.625,51.25,66.25,1000,3.875,73.75,66.25,1000,80,3.625,1521.907896,1206304251,3322.751295,13.06727154,116.4671517,1043.80227,170.6349206,1,170.6349206,829.3650794,Viga
3.625,81.25,96.25,1000,2.875,43.75,96.25,1000,80,2.625,3830.958834,832565607.9,8115.465549,16.10533311,237.8689597,830.2809227,123.75,1,0,1000,Cartela
2.375,58.75,73.75,1000,2.625,81.25,73.75,1000,80,2.375,1515.719508,1125568921,3872.611069,11.20993084,135.2122087,1320.972037,183.0357143,1,183.0357143,816.9642857,Viga
3.375,88.75,43.75,1000,3.625,51.25,43.75,1000,80,3.375,3173.252199,1030807658,7621.183464,11.95794737,265.3676338,977.6028738,131.25,1,0,1000,Cartela
2.875,73.75,88.75,1000,2.125,66.25,88.75,1000,80,3.875,2862.863884,1178778278,7042.668489,12.60481212,227.1246772,1131.235159,151.9607843,1,151.9607843,848.0392157,Viga
3.875,43.75,58.75,1000,3.125,96.25,58.75,1000,80,2.875,2058.942513,496202571.8,4886.782408,13.35685005,154.1488079,1242.512319,214.2857143,1,214.2857143,785.7142857,Viga
2.0625,71.875,68.125,1000,2.8125,53.125,68.125,1000,80,2.5625,1373.534522,1330639047,4113.527674,9.789149204,140.3119406,1537.735732,149.1935484,1,149.1935484,850.8064516,Viga
3.0625,41.875,98.125,1000,3.8125,83.125,98.125,1000,80,3.5625,1686.701029,904730473.9,4003.191056,17.31886127,97.39098906,812.3517775,185,1,185,815,Viga
2.5625,56.875,53.125,1000,2.3125,98.125,53.125,1000,80,3.0625,1653.286769,1086678664,3550.402905,9.841010206,167.9997007,1531.689872,209.6774194,1,209.6774194,790.3225806,Viga
3.5625,86.875,83.125,1000,3.3125,68.125,83.125,1000,80,2.0625,3995.374557,773475660.7,8561.53801,16.88709131,236.5934123,761.3190693,148.125,1,0,1000,Cartela
2.3125,49.375,90.625,1000,3.0625,90.625,90.625,1000,80,2.8125,1276.991675,1044505702,3584.127326,13.70285558,93.19164663,1007.6899,195,1,195,805,Viga
3.3125,79.375,60.625,1000,2.0625,60.625,60.625,1000,80,3.8125,3881.284508,1000586618,8284.094984,11.12580259,348.8543391,2082.770742,181.4516129,1,181.4516129,818.5483871,Viga
